Time;Flow;Setpoint
0,000;10,099;10,0
0,100;10,121;10,0
0,200;10,401;10,0
0,300;10,663;10,0
0,400;10,358;10,0
0,500;10,363;10,0
0,600;10,690;10,0
0,700;10,459;10,0
0,800;10,120;10,0
0,900;10,216;10,0
1,000;9,907;10,0
1,100;9,807;10,0
1,200;9,867;10,0
1,300;9,377;10,0
1,400;9,383;10,0
1,500;9,613;10,0
1,600;9,547;10,0
1,700;9,858;10,0
1,800;9,675;10,0
1,900;9,645;10,0
2,000;10,293;10,0
2,100;10,022;10,0
2,200;10,135;10,0
2,300;9,876;10,0
2,400;10,073;10,0
2,500;10,206;10,0
2,600;9,938;10,0
2,700;10,213;10,0
2,800;9,976;10,0
2,900;9,990;10,0
3,000;9,880;10,0
3,100;10,326;10,0
3,200;9,916;10,0
3,300;9,680;10,0
3,400;10,042;10,0
3,500;9,633;10,0
3,600;9,929;10,0
3,700;9,516;10,0
3,800;9,670;10,0
3,900;10,007;10,0
4,000;10,148;10,0
4,100;10,064;10,0
4,200;10,032;10,0
4,300;10,012;10,0
4,400;9,786;10,0
4,500;9,939;10,0
4,600;9,983;10,0
4,700;10,273;10,0
4,800;10,112;10,0
4,900;9,669;10,0
5,000;10,065;10,0
5,100;9,903;10,0
5,200;9,828;10,0
5,300;10,074;10,0
5,400;10,151;10,0
5,500;10,131;10,0
5,600;9,782;10,0
5,700;9,897;10,0
5,800;10,037;10,0
5,900;10,181;10,0
6,000;9,904;10,0
6,100;9,976;10,0
6,200;9,803;10,0
6,300;9,793;10,0
6,400;10,199;10,0
6,500;10,308;10,0
6,600;10,020;10,0
6,700;10,228;10,0
6,800;10,092;10,0
6,900;9,881;10,0
7,000;10,072;10,0
7,100;10,299;10,0
7,200;9,976;10,0
7,300;10,291;10,0
7,400;9,451;10,0
7,500;10,139;10,0
7,600;9,995;10,0
7,700;9,922;10,0
7,800;10,005;10,0
7,900;9,596;10,0
8,000;9,956;10,0
8,100;10,077;10,0
8,200;10,307;10,0
8,300;9,911;10,0
8,400;9,855;10,0
8,500;9,916;10,0
8,600;10,198;10,0
8,700;10,078;10,0
8,800;9,903;10,0
8,900;10,107;10,0
9,000;10,019;10,0
9,100;10,190;10,0
9,200;9,852;10,0
9,300;9,925;10,0
9,400;9,911;10,0
9,500;9,696;10,0
9,600;10,049;10,0
9,700;10,044;10,0
9,800;9,995;10,0
9,900;9,950;10,0
